Section,Status,Tag / Service,Purpose,ID,File,Lines,How to remove,How to add
"1 - In themeusa.liquid",Live,Google Ads - Base tag + Enhanced Conversions,"Main Google Ads tag; all Google conversions depend on it",AW-1067044694,themeusa.liquid,22-30,"Delete lines 22-30 (kills ALL Google conversions too)","Paste block once near top of file"
"1 - In themeusa.liquid",Live,Google Ads - Phone-call conversion,"Tracks calls to (605) 614-1888",AW-1067044694/6h88COG88MEbENae5_wD,themeusa.liquid,32-36,"Delete lines 32-36","Paste below base tag; update phone number"
"1 - In themeusa.liquid",Live,Google Ads - Contact-form conversion,"Fires on contact form submit (skips /pages/contact-us)",AW-1067044694/V3QHCICo8MEbENae5_wD,themeusa.liquid,78-98,"Delete lines 78-98","Paste after base tag"
"1 - In themeusa.liquid",Live,Google Ads + Bing UET - Custom Size form,"On #request-custom-size submit: Google conversion + Bing event",AW-1067044694/Lb6_CLHPu5QcENae5_wD,themeusa.liquid,109-119,"Delete lines 109-119","Needs Bing UET base tag (row in section 2)"
"1 - In themeusa.liquid",Live,Bing UET - Request 2D mock event,"On #request-2d-mock submit: Bing UET event",uetq Request_2d,themeusa.liquid,121-130,"Delete lines 121-130","Needs Bing UET base tag (section 2)"
"1 - In themeusa.liquid",Inactive,Zepic - Product Viewed tracking,"Commented out (wrapped in comment tags) - does not run",-,themeusa.liquid,100-107,"Delete lines 100-107","Remove the comment/endcomment wrapper to re-enable"
"1 - In themeusa.liquid",Live,Customer data layer (fm-cart-token),"Pushes cart + customer name/email/phone into JS object for automation; handles personal data",shopifyCartEvent,themeusa.liquid,44-71,"Delete lines 44-71 (check it isn't feeding Klaviyo/automation first)","Not an ad pixel - a data feed; leave unless you know what uses it"
"2 - theme.liquid head/body OR foxtheme metafield",Live,Bing / Microsoft UET - BASE tag,"Base tag the two Bing events depend on",ti 17530323,theme.liquid head OR foxtheme.code_head metafield,ref Backdropusa.html:215,"Find in theme.liquid head or code_head metafield and delete (also removes both Bing events)","Paste once in <head>"
"2 - theme.liquid head/body OR foxtheme metafield",Live,LinkedIn Insight Tag,"LinkedIn Ads tracking / retargeting",partner 3970337,theme.liquid before </body> OR foxtheme.code_body metafield,ref Backdropusa.html:12670,"Find _linkedin_partner_id block in theme.liquid or code_body metafield and delete","Paste official Insight Tag before </body>"
"2 - theme.liquid head/body OR foxtheme metafield",Live,Hotjar,"Heatmaps + session recordings",-,theme.liquid head OR foxtheme.code_head metafield,ref Backdropusa.html:404,"Find static.hotjar.com block and delete","Paste Hotjar install snippet in <head>"
"2 - theme.liquid head/body OR foxtheme metafield",Live,Microsoft Clarity,"Session recordings + heatmaps",vgks00lgi0,theme.liquid head OR foxtheme.code_head metafield,ref Backdropusa.html:423,"Find clarity.ms block and delete","Paste in <head>"
"2 - theme.liquid head/body OR foxtheme metafield",Live,Leadfeeder (Lfeeder),"B2B visitor / company identification",kn9Eq4RJXRj4RlvP,theme.liquid head OR foxtheme.code_head metafield,ref Backdropusa.html:417,"Find lfeeder.com / ldfdr snippet and delete","Paste Leadfeeder tracker in <head>"
"2 - theme.liquid head/body OR foxtheme metafield",Live,Zepic SDK,"Marketing-automation SDK (loads even though Product Viewed call is commented)",-,theme.liquid head OR foxtheme.code_head metafield,ref Backdropusa.html:419,"Find zepiccdn.com/sdk.js tag and delete","Paste Zepic SDK script in <head>"
"3 - App-managed",App,GoAffPro,"Affiliate / referral program tracking",-,GoAffPro app,ref Backdropusa.html:211,"Disable or uninstall the GoAffPro app",-
"3 - App-managed",App,Klaviyo,"Email / SMS marketing + on-site tracking",R6VikU,Klaviyo app embed,ref Backdropusa.html:648,"Turn off Klaviyo App embed or uninstall app",-
"3 - App-managed",App,Judge.me,"Product reviews widget",-,Judge.me app embed,ref Backdropusa.html:501,"Turn off Judge.me App embed or uninstall",-
"3 - App-managed",App,HulkApps (Form Builder / Product Options / Volume Discount),"Forms, product option add-ons, quantity discounts",-,HulkApps app embeds,"ref :431, :595, :670","Disable the HulkApps App embed; remove matching include in themeusa.liquid (lines 40 & 44) if unused",-
"3 - App-managed",App,Trustpilot,"Trustpilot reviews widget",-,Trustpilot app/theme,ref Backdropusa.html:218,"Remove widget.trustpilot.com embed",-
"3 - App-managed",App,Zoho SalesIQ,"Live-chat widget",-,Zoho SalesIQ app/theme,ref Backdropusa.html:12688,"Remove salesiq.zoho snippet",-
