Build Order,Verdict,App (current),Category,What it does for you,Replace with (your own approach),Difficulty,Rough effort,Key risks / considerations,Your head start
1,Build own,HulkApps Form Builder,Forms,"Contact form, Request Custom Size, Request 2D mock, enquiry forms","Custom Liquid form + JS -> POST to Google Apps Script -> Google Sheet (same pattern as your sponsorship lead forms)",Easy,1-2 days per form,"Validation, spam protection (see row 2), email notification from Apps Script, store fields you need",STRONG - you already do this in sponsorship-landing-v2.liquid + bds-forms.js + .gs scripts
2,Build own,hCaptcha,Spam protection,"Blocks bot/spam form submissions","Cloudflare Turnstile (free) or honeypot hidden field + time-trap; verify token in Apps Script",Easy,0.5-1 day,"Don't lose protection on real forms; Turnstile needs a free key","Pairs with row 1; verify on the Apps Script side"
3,Build own,HulkApps Volume Discount,Pricing,"Quantity-based tier pricing (buy more = lower unit price)","Shopify native Automatic Discounts (simple) OR a Shopify Function for custom tiers + a Liquid pricing table on the product page",Medium,2-4 days,"Cart/checkout must show the discount; Functions need a dev build; native covers simple cases free","Partial - hulk_po_vd include shows current tiers to mirror"
4,Build own,OneTrust (ot-cookies),Cookie consent,"GDPR/cookie consent banner","Custom banner (Liquid + JS) wired to Shopify Customer Privacy API to gate tracking scripts",Medium,2-3 days,"Compliance-sensitive; must actually block pixels until consent; test per-region rules",None - new build
5,Build own,GoAffPro,Affiliate / referral,"Referral links, attribution, commission tracking, affiliate payouts","Custom referral capture (cookie + UTM) -> store in Sheet/metafields via Apps Script; manual or scripted commission report",Med-Hard,1-2 weeks,"Attribution accuracy, fraud, payout workflow, affiliate-facing dashboard is the hard part","STARTED - affiliate-referral-capture.liquid + affiliate-pixel-custom-pixel.js already in repo"
6,Build own,HulkApps Product Options,Product options,"Custom add-on options beyond Shopify variants (size, material, finishing, add-ons)","Liquid custom option UI + line-item properties; price add-ons via variants or a draft-order/Function",Med-Hard,1-2 weeks,"Conditional logic + price changes are the hard part; must flow into cart, checkout, and order","Partial - hulkapps_product_options usage shows what to replicate"
7,Build own,Uploadcare,File upload,"Customers upload artwork files for custom prints","Shopify native file line-item property upload, or direct-to-cloud (e.g. signed upload) + link saved on the order",Medium,3-5 days,"File size limits, file type validation, linking file to the right order, storage cost",None - new build
-,Consolidate / DROP,Hotjar,Heatmaps / recordings,"Session recordings + heatmaps","DROP - Microsoft Clarity already installed and is free with the same features",Easy (remove),0.5 day,"Confirm Clarity covers what you watch in Hotjar before removing","Clarity already live (vgks00lgi0)"
-,Consolidate / DROP,Zepic,Marketing automation,"Automation / messaging SDK","DROP or merge into Klaviyo - likely redundant; confirm nothing depends on it",Easy (remove),0.5-1 day,"Check no flows/automations rely on Zepic before removing","Product-view call already commented out in themeusa.liquid"
-,Consolidate / DROP,fa_translate (FoxKit/translate),Translation,"Multi-language / translation","Switch to Shopify's free native Translate & Adapt app",Easy (swap),1-2 days,"Re-enter/auto-translate strings; check currency/language switcher",None
-,KEEP,Klaviyo,Email / SMS marketing,"Campaigns, flows, segmentation, on-site tracking","KEEP - deliverability, automation, and compliance are specialist; self-hosting risks inbox placement",N/A,-,"Replacing badly tanks email deliverability and revenue","-"
-,KEEP,Judge.me,Reviews,"Product reviews, photo reviews, review-request emails, SEO rich snippets","KEEP (free tier) - rebuilding loses SEO stars, existing reviews, and the email collection engine",N/A,-,"Migration loses historical reviews + rich-snippet SEO","-"
-,KEEP,Leadfeeder (Lfeeder),B2B visitor ID,"Identifies companies visiting the site","KEEP or drop - cannot self-build (needs proprietary IP->company database)",N/A,-,"No code can replicate the underlying data set","-"
-,KEEP,Zoho SalesIQ,Live chat,"Live chat widget + agent console","KEEP or swap vendor - own real-time chat (websockets + agent + mobile app) is a big build",N/A,-,"Realtime infra, agent availability, mobile notifications","-"
-,KEEP,Trustpilot,Reputation,"External Trustpilot reviews + trust badge","KEEP or drop - it is an external trust brand; code cannot reproduce the third-party credibility",N/A,-,"Value is the external brand, not the widget","-"
?,Investigate,qikify-apps,Unknown (UI widget?),"Qikify feature - sticky bar / cart / badges (confirm which)","TBD once feature confirmed - many qikify widgets are simple Liquid/JS rebuilds",TBD,TBD,"Identify the exact feature in use first","Confirm in Apps list"
?,Investigate,tc.cdnhub.co,Unknown,"Third-party script tc.cdnhub.co/main.js (identify)","TBD - identify the app/vendor before deciding",TBD,TBD,"Unknown vendor; verify what it does and if still needed","Confirm in Apps list / ScriptTags"
