#,Group,System,What it does,Files,Type,Lines,Google Sheet / Destination,Runs on,Status
1,Tracking & Attribution,bds-unified — Multi-country lead & order tracking + Google Ads OCT,"ONE sheet + ONE script for all 11 country stores. Every lead and order lands in a per-country ""<CC> Lead"" / ""<CC> Order"" tab with full source attribution; uploads offline conversions back to Google Ads.",usa-oct-apps-script.gs,Apps Script (Web App),681,15wnVR1TSrEnBuEg6QCLRUxJ3ptuTyOdlOriF28viAQ0,15-min maintenance trigger,Live — USA / CA / UK
,,,,bds-tracking.liquid,Theme snippet,552,,,
,,,,bds-pixel.js,Shopify Custom Pixel,250,,,
2,Tracking & Attribution,Cross-border journey + checkout abandonment,"One row per checkout from start to Purchased / Abandoned / Recovered, carrying the ""browsed UK → ordered on CA"" journey. Abandonment is inferred from the absence of checkout_completed after 60 min.",cross-border-apps-script.gs,Apps Script (Web App),609,Own sheet — ID still a PASTE_ placeholder,15-min runMaintenance,Built — needs sheet ID + deploy
3,Tracking & Attribution,Visitor + touchpoint analytics,"Standalone pageview / engagement tracking (time on page, max scroll %, clicks) with per-country auto-created tabs. Independent of the unified lead & order pipeline.",bds-visitors-apps-script.gs,Apps Script (Web App),412,Own sheet — ID still a PASTE_ placeholder,On beacon,Built — needs sheet ID
,,,,bds-visitors.liquid,Theme snippet,304,,,
4,Tracking & Attribution,Canada OCT (original build),"First offline-conversion build: captures GCLID on the Canada store, logs the two lead forms, uploads conversions to Google Ads account 540697356.",canada-oct-apps-script.gs,Apps Script (Web App),459,1hfHqs1Xkb4jlf51__ZoAlt8QNx2URlEcXnBr-MtZNLc,On lead + upload job,Superseded by #1 (CA repointed)
,,,,catheme.liquid,Theme layout wiring,48,,,
5,Tracking & Attribution,USA funnel + conversion pixel (original build),Add-to-cart and purchase events fanned out to the sheet + Google Ads + Bing + Meta for the USA store.,usa-tracking-custom-pixel.js,Shopify Custom Pixel,198,15wnVR1T… (bds-unified),On checkout events,Superseded by bds-pixel.js
6,Tracking & Attribution,Irexona affiliate tracking (Canada),"Captures ?click_id= into a 30-day first-party cookie, then rebuilds irexona's conversion iframe at checkout with the real Shopify order id + total.",affiliate-pixel-custom-pixel.js,Shopify Custom Pixel,65,conv.irexona.com (external),On checkout_completed,Live — Canada
,,,,affiliate-referral-capture.liquid,Theme snippet,40,,,
7,Tracking & Attribution,GTM purchase pixel,"Loads the GTM container inside the checkout sandbox and pushes a purchase_complete dataLayer event with the real order id / value / items, so GTM-based Ads & GA4 tags fire on Shopify checkout.",gtm-purchase-custom-pixel.js,Shopify Custom Pixel,72,GTM dataLayer,On checkout_completed,Built
8,Reporting & BI,Ad Budget Tracker,"Ad spend (Meta / Google / Bing / LinkedIn / TikTok) next to Shopify conversions per Day × Country × Platform — CPA, ROAS, AOV, CTR, CPC on a period-filterable dashboard. Plus a daily email summary and monthly Billboard / Payments reports.",ad-budget-tracker-apps-script.gs,Apps Script (Web App),2622,1NN1wIwcYk9SO88OObPaUTk8ULtdhlr9Dv5hcUkdt4BM,"Daily 14:00 + 14:15, 15:00 summary, 1st-of-month reports, 30-min rebuild",Live
,,,,google-ads-spend-script.js,Google Ads Script,112,,,
,,,,bing-ads-spend-script.js,Microsoft Ads Script,120,,,
